L2A0-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
3,1,0,1,0,1,------0,0,0.0,------1,
6,2,0,1,0,1,------0,0,0.0,------1,
9,3,0,1,0,1,------0,0,0.0,------1,
12,4,0,1,0,1,------0,0,0.0,------1,
15,5,0,1,0,1,------0,0,0.0,------1,
18,6,0,1,0,1,------0,0,0.0,------1,
21,7,0,1,0,1,------0,0,0.0,------1,
24,8,0,1,0,1,------0,0,0.0,------1,
27,9,0,1,0,1,------0,0,0.0,------1,
30,10,0,1,0,1,------0,0,0.0,------1,
33,11,0,1,0,1,------0,0,0.0,------1,
36,12,0,1,0,1,------0,0,0.0,------1,
39,13,0,1,0,1,------0,0,0.0,------1,
42,14,0,1,0,1,------0,0,0.0,------1,
45,15,0,1,0,1,------0,0,0.0,------1,
48,16,0,1,0,1,------0,0,0.0,------1,
51,17,0,1,0,1,------0,0,0.0,------1,
54,18,1,1,1,2,------1,0,2.1474836E7,------2,
57,19,1,1,0,2,------1,0,2.1474836E7,------2,
60,20,1,1,0,2,------1,0,2.1474836E7,------2,
63,21,1,1,0,2,------1,0,2.1474836E7,------2,
66,22,1,1,0,2,------1,0,2.1474836E7,------2,
69,23,1,1,0,2,------1,0,2.1474836E7,------2,
72,24,0,1,1,2,------0,0,0.0,------1,
75,25,0,1,0,2,------0,0,0.0,------1,
78,26,0,1,0,2,------0,0,0.0,------1,
81,27,0,1,0,2,------0,0,0.0,------1,
84,28,0,1,0,2,------0,0,0.0,------1,
87,29,0,1,0,2,------0,0,0.0,------1,
90,30,1,1,1,2,------1,0,2.1474836E7,------2,
93,31,1,1,0,2,------1,0,2.1474836E7,------2,
96,32,1,1,0,2,------1,0,2.1474836E7,------2,
99,33,1,1,0,2,------1,0,2.1474836E7,------2,
102,34,1,1,0,2,------1,0,2.1474836E7,------2,
105,35,1,1,0,2,------1,0,2.1474836E7,------2,
108,36,1,1,0,2,------1,0,2.1474836E7,------2,
111,37,1,1,0,2,------1,0,2.1474836E7,------2,
114,38,1,1,0,2,------1,0,2.1474836E7,------2,
117,39,1,1,0,2,------1,0,2.1474836E7,------2,
120,40,1,1,0,2,------1,0,2.1474836E7,------2,
123,41,1,1,0,2,------1,0,2.1474836E7,------2,
126,42,0,1,1,2,------0,0,0.0,------1,
129,43,0,1,0,2,------0,0,0.0,------1,
132,44,0,1,0,2,------0,0,0.0,------1,
135,45,0,1,0,2,------0,0,0.0,------1,
138,46,0,1,0,2,------0,0,0.0,------1,
141,47,0,1,0,2,------0,0,0.0,------1,
144,48,1,1,1,2,------1,0,2.1474836E7,------2,
147,49,1,1,0,2,------1,0,2.1474836E7,------2,
150,50,1,1,0,2,------1,0,2.1474836E7,------2,
153,51,1,1,0,2,------1,0,2.1474836E7,------2,
156,52,1,1,0,2,------1,0,2.1474836E7,------2,
159,53,1,1,0,2,------1,0,2.1474836E7,------2,
162,54,1,1,0,2,------1,0,2.1474836E7,------2,
165,55,1,1,0,2,------1,0,2.1474836E7,------2,
168,56,1,1,0,2,------1,0,2.1474836E7,------2,
171,57,1,1,0,2,------1,0,2.1474836E7,------2,
174,58,1,1,0,2,------1,0,2.1474836E7,------2,
177,59,1,1,0,2,------1,0,2.1474836E7,------2,
180,60,0,1,1,2,------0,0,0.0,------1,
183,61,0,1,0,2,------0,0,0.0,------1,
186,62,0,1,0,2,------0,0,0.0,------1,
189,63,0,1,0,2,------0,0,0.0,------1,
192,64,0,1,0,2,------0,0,0.0,------1,
195,65,0,1,0,2,------0,0,0.0,------1,
198,66,1,1,1,2,------1,0,2.1474836E7,------2,
201,67,1,1,0,2,------1,0,2.1474836E7,------2,
204,68,1,1,0,2,------1,0,2.1474836E7,------2,
207,69,1,1,0,2,------1,0,2.1474836E7,------2,
210,70,1,1,0,2,------1,0,2.1474836E7,------2,
213,71,1,1,0,2,------1,0,2.1474836E7,------2,
