L0A5-->Columns Header:, LevelCount, AutomataStep, AggregateState, Goal, StateDifference, DiversityCounter, LiveCellsCount, LiveCellsArea, LiveCellsDensity, StateId
1,1,0,1,0,1,------5,9,0.56,------1,
4,2,0,1,4,2,------9,25,0.36,------2,
7,3,0,1,12,3,------21,49,0.43,------3,
10,4,0,1,8,4,------29,81,0.36,------4,
13,5,0,1,12,5,------41,121,0.34,------5,
16,6,1,1,12,6,------53,169,0.31,------6,
19,7,1,1,36,7,------89,225,0.4,------7,
22,8,1,1,28,8,------117,289,0.4,------8,
25,9,1,1,12,9,------129,361,0.36,------9,
28,10,1,1,12,10,------141,441,0.32,------10,
31,11,1,1,32,11,------173,441,0.39,------11,
34,12,1,1,24,12,------197,441,0.45,------12,
37,13,1,1,24,13,------221,441,0.5,------13,
40,14,1,1,24,14,------245,441,0.56,------14,
43,15,1,1,64,15,------309,441,0.7,------15,
46,16,1,0,136,16,------173,441,0.39,------16,
49,17,1,0,64,17,------109,361,0.3,------17,
52,18,1,0,20,18,------89,289,0.31,------18,
55,19,1,0,16,19,------73,225,0.32,------19,
58,20,1,0,12,20,------61,169,0.36,------20,
61,21,1,1,28,21,------89,225,0.4,------21,
64,22,1,1,40,22,------129,289,0.45,------22,
67,23,1,1,24,23,------153,361,0.42,------23,
70,24,1,1,24,24,------177,441,0.4,------24,
73,25,1,1,24,25,------201,441,0.46,------25,
76,26,1,0,56,26,------145,361,0.4,------26,
79,27,1,0,24,27,------121,169,0.72,------27,
82,28,1,0,12,28,------109,121,0.9,------28,
85,29,1,0,12,29,------97,121,0.8,------29,
88,30,1,0,16,30,------81,121,0.67,------30,
91,31,1,0,20,31,------61,121,0.5,------31,
94,32,0,0,20,32,------41,81,0.51,------32,
97,33,0,0,16,33,------25,49,0.51,------33,
100,34,0,0,12,34,------13,25,0.52,------34,
103,35,0,0,8,34,------5,9,0.56,------1,
106,36,0,1,4,34,------9,25,0.36,------2,
109,37,0,1,12,34,------21,49,0.43,------3,
112,38,0,1,8,34,------29,81,0.36,------4,
115,39,0,1,12,34,------41,121,0.34,------5,
118,40,1,1,12,34,------53,169,0.31,------6,
121,41,1,1,36,34,------89,225,0.4,------7,
124,42,1,1,28,34,------117,289,0.4,------8,
127,43,1,1,12,34,------129,361,0.36,------9,
130,44,1,1,12,34,------141,441,0.32,------10,
133,45,1,1,32,34,------173,441,0.39,------11,
136,46,1,0,72,35,------101,441,0.23,------35,
139,47,1,0,40,35,------61,121,0.5,------31,
142,48,0,0,20,35,------41,81,0.51,------32,
145,49,0,0,16,35,------25,49,0.51,------33,
148,50,0,0,12,35,------13,25,0.52,------34,
151,51,0,1,4,36,------17,49,0.35,------36,
154,52,0,1,12,37,------29,81,0.36,------37,
157,53,0,1,12,38,------41,121,0.34,------38,
160,54,1,1,20,39,------61,169,0.36,------39,
163,55,1,1,20,40,------81,225,0.36,------40,
166,56,1,1,24,41,------105,289,0.36,------41,
169,57,1,1,28,42,------133,361,0.37,------42,
172,58,1,1,24,43,------157,441,0.36,------43,
175,59,1,1,16,44,------173,441,0.39,------44,
178,60,1,1,16,45,------189,441,0.43,------45,
181,61,1,1,24,46,------213,441,0.48,------46,
184,62,1,1,40,47,------253,441,0.57,------47,
187,63,1,1,32,48,------285,441,0.65,------48,
190,64,1,1,12,49,------297,441,0.67,------49,
193,65,1,1,16,50,------313,441,0.71,------50,
196,66,1,0,96,51,------217,441,0.49,------51,
199,67,1,0,72,52,------145,361,0.4,------52,
202,68,1,0,41,53,------104,361,0.29,------53,
205,69,1,0,36,54,------68,361,0.19,------54,
208,70,0,0,36,55,------32,361,0.09,------55,
211,71,1,1,48,56,------80,441,0.18,------56,
214,72,1,1,56,57,------136,441,0.31,------57,
217,73,1,1,57,58,------193,441,0.44,------58,
220,74,1,1,36,59,------229,441,0.52,------59,
223,75,1,1,40,60,------269,441,0.61,------60,
226,76,1,1,52,61,------321,441,0.73,------61,
229,77,1,1,36,62,------357,441,0.81,------62,
232,78,1,1,0,62,------357,441,0.81,------62,
235,79,1,1,0,62,------357,441,0.81,------62,
238,80,1,1,0,62,------357,441,0.81,------62,
241,81,1,0,40,63,------317,441,0.72,------63,
244,82,1,0,28,64,------289,361,0.8,------64,
247,83,1,0,16,65,------273,361,0.76,------65,
250,84,1,0,24,66,------249,361,0.69,------66,
253,85,1,0,32,67,------217,361,0.6,------67,
256,86,1,1,12,68,------229,441,0.52,------68,
259,87,1,1,8,69,------237,441,0.54,------69,
262,88,1,1,8,70,------245,441,0.56,------70,
265,89,1,1,16,71,------261,441,0.59,------71,
268,90,1,1,16,72,------277,441,0.63,------72,
271,91,1,1,16,73,------293,441,0.66,------73,
274,92,1,1,16,74,------309,441,0.7,------74,
277,93,1,1,40,75,------349,441,0.79,------75,
280,94,1,1,40,76,------389,441,0.88,------76,
283,95,1,1,0,76,------389,441,0.88,------76,
286,96,1,0,44,77,------345,441,0.78,------77,
289,97,1,0,24,78,------321,441,0.73,------78,
292,98,1,0,16,79,------305,441,0.69,------79,
295,99,1,0,8,80,------297,441,0.67,------80,
298,100,1,0,8,81,------289,441,0.66,------81,
301,101,1,1,32,82,------321,441,0.73,------82,
304,102,1,1,36,83,------357,441,0.81,------83,
307,103,1,1,20,84,------377,441,0.85,------84,
310,104,1,1,20,85,------397,441,0.9,------85,
313,105,1,1,4,86,------401,441,0.91,------86,
316,106,1,0,32,87,------369,441,0.84,------87,
319,107,1,0,20,88,------349,441,0.79,------88,
322,108,1,0,24,89,------325,441,0.74,------89,
325,109,1,0,24,90,------301,361,0.83,------90,
328,110,1,0,24,91,------277,361,0.77,------91,
331,111,1,1,28,92,------305,441,0.69,------92,
334,112,1,1,8,93,------313,441,0.71,------93,
337,113,1,1,8,94,------321,441,0.73,------94,
340,114,1,1,16,95,------337,441,0.76,------95,
343,115,1,1,16,96,------353,441,0.8,------96,
346,116,1,0,36,97,------317,441,0.72,------97,
349,117,1,0,16,98,------301,441,0.68,------98,
352,118,1,0,12,98,------289,441,0.66,------81,
355,119,1,0,16,99,------273,441,0.62,------99,
358,120,1,0,24,100,------249,441,0.56,------100,
361,121,1,0,32,101,------217,441,0.49,------101,
364,122,1,0,36,102,------181,361,0.5,------102,
367,123,1,0,36,103,------145,289,0.5,------103,
370,124,1,0,32,104,------113,225,0.5,------104,
373,125,1,0,28,105,------85,169,0.5,------105,
376,126,1,1,4,106,------89,225,0.4,------106,
379,127,1,1,12,107,------101,289,0.35,------107,
382,128,1,1,12,108,------113,361,0.31,------108,
385,129,1,1,36,109,------149,441,0.34,------109,
388,130,1,1,24,110,------173,441,0.39,------110,
391,131,1,0,56,111,------117,361,0.32,------111,
394,132,1,0,28,111,------89,289,0.31,------18,
397,133,1,0,16,111,------73,225,0.32,------19,
400,134,1,0,12,111,------61,169,0.36,------20,
403,135,1,0,12,112,------49,121,0.4,------112,
406,136,1,1,20,113,------69,169,0.41,------113,
409,137,1,1,32,114,------101,225,0.45,------114,
412,138,1,1,16,114,------117,289,0.4,------8,
415,139,1,1,12,114,------129,361,0.36,------9,
418,140,1,1,12,114,------141,441,0.32,------10,
421,141,1,0,52,115,------89,289,0.31,------115,
424,142,1,0,28,115,------61,121,0.5,------31,
427,143,0,0,20,115,------41,81,0.51,------32,
430,144,0,0,16,115,------25,49,0.51,------33,
433,145,0,0,12,115,------13,25,0.52,------34,
436,146,0,1,4,115,------17,49,0.35,------36,
439,147,0,1,12,115,------29,81,0.36,------37,
